eid,n,t,w
1,vraiment,1,144
4,Conscience,1,52
6,provenir,1,52
8,traversée,1,158
12,discréditer,1,76
13,adjuration,1,54
16,Maria Callas,1,62
17,croisades,1,56
26,contraint,1,72
27,oies,1,80
29,onlay,1,52
30,écologiquement,1,58
34,lai,1,64
35,sans-abri,1,68
38,exaspérant,1,100
40,émeraude,1,162
42,retouche,1,118
43,écrivassier,1,56
44,Phaseolus vulgaris,1,56
45,rappel,1,148
54,Robert Surcouf,1,56
56,tache de rousseur,1,70
59,Soupçons,1,60
60,bleu,1,2298
61,sans importance,1,60
63,décaper,1,104
71,hélium,1,74
72,tissu-éponge,1,52
74,bourriquet,1,52
79,Boskop,1,52
80,nerveusement,1,100
82,obscène,1,84
84,sourcil,1,212
86,ure,1,52
89,pâlot,1,82
97,Lépide,1,52
98,Docteur Faustus,1,56
99,expédition,1,128
104,clos de haies,1,52
106,centigramme,1,56
110,skaï,1,74
112,peu à peu,1,80
120,cytotoxique,1,58
126,barbillon,1,54
131,assiettée,1,54
135,barrot,1,56
137,sumérien,1,52
138,Sandawe,1,52
139,immédiat,1,96
140,dégonflard,1,52
144,fixateur,1,66
145,wallon,1,74
146,craquelin,1,66
150,chat,1,5106
151,uniforme,1,314
162,graviter,1,72
164,vaisseau spatial,1,140
167,chaufferette,1,100
169,Nicolas Schöffer,1,56
173,fébrile,1,174
176,fondations,1,70
181,cambuse,1,82
183,crado,1,72
184,librement,1,178
186,ressemeler,1,54
192,Transylvanie,1,80
193,gelure,1,56
195,recoiffer,1,58
196,discrètement,1,660
197,reconstituant,1,52
198,bobard,1,84
199,Nérée,1,60
200,opale,1,66
202,chaud lapin,1,52
203,sous-préfet,1,54
204,supportable,1,54
211,enchaîné,1,108
212,atmosphère,1,436
215,dévot,1,88
216,tapetum,1,58
217,brutalement,1,518
218,régler son compte,1,72
220,se défiler,1,72
221,être démodé,1,54
223,estrildidés,1,54
227,bingo,1,72
228,élégie,1,68
230,Walhalla,1,54
231,rouler,1,1886
233,bondieuserie,1,56
234,porte à porte,1,58
235,dewar,1,58
237,objet,1,1854
238,olive,1,454
241,abordable,1,104
246,mégissage,1,52
249,surfing,1,58
251,philippin,1,58
253,soda,1,626
259,somnifère,1,318
262,ter,1,74
266,cérithe,1,52
267,Histoire,1,372
271,flanchet,1,52
273,piaf,1,164
277,éternuement,1,106
278,Pagnol,1,104
284,neurosyphilis,1,54
290,Cracovie,1,52
292,ressac,1,70
293,eulogie,1,54
298,prématuré,1,94
307,acquiescer,1,66
309,assécher,1,90
315,infirmière,1,1704
321,carbonates,1,52
324,décélérateur,1,52
325,phlébite,1,82
326,vergeté,1,54
329,chrysanthème,1,52
330,poétesse,1,146
332,Vitus Béring,1,52
335,Virgile,1,66
338,crossing-over,1,56
339,apareunie,1,54
340,flux lumineux,1,56
343,labradorite,1,72
347,culinaire,1,68
349,traumatisant,1,68
354,moinesse,1,52
360,divinement,1,80
361,de travers,1,130
362,Anthémios de Tralles,1,62
363,hémochromatose,1,54
366,Jean Angot,1,54
370,puni,1,90
377,rempli,1,206
378,être persuadé,1,64
381,demeuré,1,62
383,mare aux canards,1,60
388,analgésie,1,56
390,plancher,1,194
392,Aspres,1,52
397,bavasser,1,76
398,contacter,1,100
399,parme,1,106
400,wagonnet,1,152
401,imperturbablement,1,54
403,Étienne III le Grand,1,52
406,macéré,1,52
407,tuyau de poêle,1,54
410,compromis,1,190
411,peanut,1,52
416,pétainisme,1,54
419,germanophone,1,58
422,Cenis,1,52
426,affabuler,1,56
427,Fernand Cortez,1,56
428,caveau,1,164
429,bruissement,1,66
433,guanaco,1,54
437,beignet,1,214
441,kebab,1,84
443,Jacques Becker,1,52
448,Annibal,1,78
452,tympanon,1,52
455,stéarique,1,52
456,nulla poena sine lege,1,58
457,rachis,1,66
459,luminaire,1,88
460,manteau inférieur,1,54
461,bouffi,1,60
464,rachat,1,62
468,neurinome,1,58
471,Rose,1,52
477,Antonio Allegri,1,52
484,malacologie,1,58
487,syndic,1,74
491,papillote,1,54
497,Kinski,1,74
498,paon,1,128
499,Perrault,1,310
502,Émirats Arabes Unis,1,52
504,Gabrielle,1,56
505,Mbabane,1,52
506,bémol,1,120
508,aérophone,1,54
509,main-forte,1,52
510,poules,1,112
515,enfariner,1,52
516,singulièrement,1,64
526,lantanier,1,74
528,mésoclimat,1,54
536,choriste,1,188
540,Midi,1,62
542,État,1,134
543,lésine,1,52
549,Michel Strogoff,1,68
553,fac-similé,1,58
554,amaigrissant,1,52
563,grille,1,182
564,scrupule,1,70
567,stressé,1,96
570,train de vie,1,90
573,se faire humble,1,52
575,tarte,1,892
579,self-service,1,108
583,Beauce,1,58
585,désinformation,1,72
586,fougueux,1,104
589,soeurs Brontë,1,54
590,hecto,1,54
602,engrenage,1,114
608,porte-documents,1,104
612,gemmothérapie,1,58
615,mazout,1,62
624,Indre,1,54
625,Kourou,1,124
626,peur,1,4960
630,Peyo,1,56
643,narcissique,1,94
648,morse,1,98
652,disjoncteur,1,110
656,chut,1,112
657,aflatoxine,1,54
659,chaussure de ville,1,60
661,courageux,1,402
664,arbitre,1,322
665,wombat,1,54
667,gazoline,1,52
668,bouturage,1,56
672,signes cliniques,1,52
674,grenade,1,194
695,Sahel,1,82
696,typhon,1,70
699,caldera,1,58
701,coulisse,1,78
707,boîte à ordures,1,52
710,zeugme,1,54
711,tellurien,1,52
715,caquetoire,1,54
720,absolu,1,156
723,imiter,1,214
728,homonyme,1,82
729,insécable,1,66
730,Vitrolles,1,52
736,débutante,1,88
742,assainissement,1,62
751,brède,1,52
753,poindre,1,56
754,vasectomie,1,76
755,treille,1,64
768,gardon,1,72
769,cinéma italien,1,132
774,osselet,1,64
777,stature,1,86
781,athymie,1,52
783,capitaine Haddock,1,524
785,maudit,1,128
789,artisanalement,1,94
790,Darwin,1,126
793,Turbellariés,1,52
794,chouchou,1,114
799,galactosémie,1,52
804,jogging,1,116
814,démantibuler,1,54
817,Salzbourg,1,56
818,magnétoscope,1,82
820,bulletin de paie,1,52
823,ramasse-miettes,1,56
824,réclamer,1,156
827,découdre,1,68
829,toucheur,1,66
835,août,1,2100
837,Oliver,1,52
842,festivité,1,158
847,capturer,1,134
852,courbement,1,70
856,onctuosité,1,52
858,se mêler,1,78
865,antiépileptique,1,54
870,anxieux,1,124
871,ouest,1,594
874,aizoacées,1,52
876,Münster,1,52
877,démontrer,1,150
886,actine,1,60
891,psychiatrie,1,390
895,cellophane,1,58
902,petite-nièce,1,56
904,Twin Peaks,1,70
905,se grouper,1,56
906,inhumainement,1,52
908,compulsif,1,106
910,vélum,1,52
913,Psyché,1,52
914,consécutif,1,54
917,déguenillé,1,52
922,Pauillac,1,56
924,badine,1,72
928,pisiforme,1,52
932,vendue,1,104
934,plastiquement,1,58
936,bélier,1,520
937,nestorianisme,1,52
939,saison des amours,1,80
943,varlope,1,58
944,chat-huant,1,54
948,vitelotte,1,52
949,aphidien,1,56
953,sautereau,1,52
954,Wetzlar,1,52
957,ébréché,1,62
962,tore,1,56
963,sherpa,1,58
967,date,1,736
968,à dessein,1,56
979,Saint-Just,1,68
980,ébouriffant,1,52
981,pergélisol,1,56
985,sébum,1,66
995,façons,1,54
997,atchoum,1,102
998,indomptable,1,52
999,clergé,1,84
1001,chanfrein,1,56
1002,datcha,1,52
1004,diamagnétique,1,52
1008,cabochard,1,52
1014,règlement,1,142
1018,anathème,1,54
1020,magasiner,1,62
1025,esthétique,1,296
1031,exhumer,1,56
1032,se ficher,1,58
1033,Traviata,1,52
1035,polythéiste,1,54
1037,bordelais,1,56
1038,agenouilloir,1,52
1041,sorcellerie,1,552
1044,isotherme,1,52
1047,Netscape Navigator,1,52
1050,navrer,1,82
1051,autocollant,1,106
1055,quartier,1,893
1061,gagne,1,56
1064,STO,1,54
1067,feutrer,1,56
1070,horripiler,1,86
1072,querelle,1,346
1073,Mascara,1,52
1075,malus,1,80
1077,rebouchage,1,52
1081,dégaine,1,52
1082,stock-car,1,56
1087,également,1,106
1091,chloroquine,1,60
1093,déchausser,1,78
1094,Bercy,1,64
1097,métallerie,1,52
1098,lanthanide,1,60
1099,casanova,1,62
1101,pelé,1,98
1110,amusement,1,494
1111,tension,1,332
1114,couteaux,1,66
1120,patachon,1,92
1123,Friedrich,1,54
1125,loup,1,1150
1128,se chausser,1,66
1132,binette,1,116
1146,enviable,1,52
1148,ampérage,1,54
1149,flambée,1,118
1151,tanzanien,1,64
1153,brandir,1,58
